FIPS,Pred
41053,0
13035,0
39139,0
28059,0
37153,0
1003,0
18133,0
28033,0
13117,0
39025,0
4023,0
45091,0
42007,0
8101,0
20159,0
30049,0
46099,0
42049,0
6099,0
48231,0
1105,0
19063,0
45017,0
18035,0
51790,0
27163,0
27071,0
24003,0
34027,0
55009,0
21035,0
29161,0
48209,0
13139,0
12093,0
41005,0
21093,0
39149,0
32023,0
1097,0
45041,0
8113,0
6055,0
48003,0
41017,0
48423,0
13217,0
33019,1
55017,0
17183,0
1053,0
48223,1
13153,1
42081,1
26145,1
35055,1
35049,1
24027,1
18019,1
26025,1
56013,1
34009,1
47009,1
36089,1
17121,1
5057,0
20161,0
20033,1
30111,1
30031,1
18177,1
12061,1
48469,0
42017,0
18003,0
48433,0
8005,0
1081,0
33005,1
47119,0
55063,0
6113,1
12009,1
5101,1
34037,1
21151,1
39057,1
17119,1
51730,1
6017,0
45013,1
48091,0
1001,0
6095,0
46119,0
53037,0
17021,0
8091,0
21073,0
21059,0
55127,0
20085,0
16027,0
56011,0
17029,0
55029,0
41029,0
13123,0
13057,0
35031,0
41007,0
37049,0
6033,0
48367,0
26015,0
34019,0
48031,0
37141,0
40125,0
37085,0
13115,0
22103,0
37171,0
48041,0
6081,0
39167,0
42079,0
47113,0
40149,0
20181,0
30067,0
53025,0
13157,0
48409,0
13095,0
4015,0
17001,0
5031,0
13151,0
51171,0
37147,0
18167,0
45071,0
55117,0
20175,0
27037,0
26063,0
37179,0
48441,0
37083,0
19013,0
17059,0
29177,0
24019,0
47105,0
48171,0
8125,0
6047,0
29131,0
21173,0
22073,0
48321,0
30013,0
24037,0
23011,0
42005,0
41019,0
39053,0
37159,0
29117,0
48421,0
39091,0
44003,0
51183,0
37035,0
17077,0
53003,0
22017,0
6089,0
21083,0
31153,0
46093,0
26077,0
36109,0
51025,0
32007,0
35043,0
21067,0
26139,0
23005,0
50023,0
22051,0
27013,0
41071,0
47151,0
18183,0
18037,0
16075,0
42123,0
42095,0
31067,0
37089,0
39171,0
23001,0
12035,0
46083,0
13229,0
38059,0
31173,0
1083,0
51011,0
13219,0
47073,0
17099,0
27165,0
38017,0
8097,0
21001,0
1057,0
28075,0
18053,0
54079,0
47035,0
