,FIPS,Text,Pred
109,25027.0,join movement afghanssupportgirlseducation we also support ,1
110,12105.0,the same outcome we saw afghanistan 2021 ukraine russia europe usa ,1
111,12057.0,antonioguterres anamartinsgomes useless organization stop feeding amp arming tplfisaterroristgroup nothing but ,1
112,11001.0,girls banned school afghanistan isn technical issue isn logistical issue isn islamic issue ,1
113,51147.0,every iftaar bittersweet knowing each night more more afghans break fast nothing prayer to ,1
114,45079.0,what happening ukraine unimaginable series war crimes most do not know us e ,1
115,6107.0,the world stood against putin ukraine hell much better chances afghanistan stop china asia h ,1
116,6107.0,fuck iran natzi racist mf racism afghanistan afghanrefugeeiniran ,1
117,6107.0,putin thinks had stopped west ukraine amp now turn stop china afghanistanputin ts ,1
118,6107.0,putin march victoryamp reach out afghanistanthe tsar mission clean world nazis i ,1
119,6037.0,gives hope united states american people major annie of service female afghan ,1
120,11001.0,10 ep2 guest nuskowi worked journalist iran during 1979 islamic revolution he later served sen ,1
121,21117.0,he amp blue dogs reason everyone feels upset dncdemocraticparty blocked 15 ,1
122,6107.0,mcfaul if tsar moves afghanistan instead ofalong side eastern ukraine means putin slapping ,1
123,36105.0,earlier today we met seanfrasermp minister immigration refugees citizenship canada we brie ,1
124,6107.0,mcfaul ukraine kyiv nothing other than punch bag putin smash whenever mad us in sense httpstcoztyomwfvlw s ,1
125,11001.0,the us busy saving lives ukraine amp ensuring russia doesn create another afghanistan along allies ,1
126,12099.0,senmastriano emodragsthel hines a dallastown high school graduate he 31 kia in ,1
127,6037.0,please join before we begin weekend sabbat celebrations think those were injured lost the ,1
128,6071.0,abc ukraineinvasion russia losing 20 combat power lost strongest army the ,1
129,13091.0,afghanistan failure bidenflation healthcare failure bordercrisis worse history covid response total fail ,1
130,36061.0,susanayari amp coauthors detail afghanchildrenread program embedded principles ,1
131,13121.0,the reality afghanistan ,1
132,13121.0,afghanistan if i catch anyone making fake accounts lying i stop volunteering if contact me wi ,1
133,36061.0,education fundamental right western countries should enact punitive measures include sanctions until ,1
134,24005.0,the hardest place morgan httpstcomwatpg3jb4 war military ad amazon ,1
135,19153.0,repmmm the biden administration still has not properly alleviated humanitarian crisis followed in ,1
136,48113.0,boycottpinkfloyd nazi loving sellout has artists pinkfloyd make music supporting people of ,1
137,48279.0,plywood wall dousing icecold water the torture has left devastated both physically and ,1
138,48279.0,theguardian reported according newly declassified report detainee secret cia detention sit ,1
139,25017.0,not only will joe biden not say bless america is a little to comfortable with all the innocent lives l ,1
140,6085.0,habiburrahman afghanistan got matched usbased company uses proprietary technology levera ,1
141,6037.0,soldiers ty carter hank hughes chris cordova daniel rodriguez appear film great weekend eve ,1
142,53067.0,women run solidarity music help persecuted women afghanistan flee spain ,1
143,12095.0,real season month away northern afghanistan up grabs ,1
