Time,Text,City,County,State
2022-04-11 19:00:07+00:00,b'#GOP Dangerous to Democracy!\nJan.6th Insurrection - where do you stand on that? https://t.co/dDdfB8EoGI https://t.co/kC5gW61nel',San Diego,San Diego County,California,United States
2022-04-11 19:00:01+00:00,b'@BrianDeeseNEC @VP Why do #Republicans fight against this? #GOP',,,,
2022-04-11 18:58:48+00:00,"b'There are no ""both sides"". There are only decent human beings versus the #GOP deplorable, despicable, disgusting na\xe2\x80\xa6 https://t.co/6aEIOMRPc1'",,,,
2022-04-11 18:58:27+00:00,b'Eric Greitens\xe2\x80\x99 fade in the polls reorders Missouri Senate race https://t.co/O5pw6QV34x via @politico #GOP\xe2\x80\xa6 https://t.co/fJG6smmwG5',,,,
2022-04-11 18:58:25+00:00,"b'@GovRonDeSantis God Bless #Florida,  thank God for Mr. DeSantis, #Miami #Tampa #Orlando  Wish we could export this\xe2\x80\xa6 https://t.co/oryK8vkIVt'",,,,
2022-04-11 18:58:21+00:00,b'@JudiciaryGOP @HouseGOP #Kushners 2 billion arms deals to #Saudi that\xe2\x80\x99s where you guns are. How about #Mnachin and\xe2\x80\xa6 https://t.co/fRmgYNLrCN',,,,
2022-04-11 18:56:46+00:00,"b'@laurenboebert @elonmusk Hate speech, nonsensical speech, fact less speech, propaganda speech , racist speech are the trademarks of #gop.'",Ontario,Cochrane District,,Canada
2022-04-11 18:56:29+00:00,b'@HouseGOP Where is 2 billion arms dealer #Kushner and 1 billion dollar #Mnachin ? Answer? Tell us more? #Billions\xe2\x80\xa6 https://t.co/fGUEQXlj7j',,,,
2022-04-11 18:56:21+00:00,b'@BarnettforAZ @realLizUSA @GaSecofState @BrianKempGA Exactly what are they getting away with? It is not illegal in\xe2\x80\xa6 https://t.co/dAvfqufMMS',,,,
2022-04-11 18:55:13+00:00,b'@gr8shotkeith @cesarmillan The three most important ways to lead people are: By example. By example. By example. -A\xe2\x80\xa6 https://t.co/wBPU3VA2I2',,,,
2022-04-11 18:54:18+00:00,b'@RepStefanik @HouseGOP Have #Kushner give some of his 2 billion Saudi sellout deal to ease the cost since he is hav\xe2\x80\xa6 https://t.co/sMPap8b9GY',,,,
2022-04-11 18:53:27+00:00,b'#GOP\xe2\x80\x99s Favourite PEDOPHILE\n\nAbout 30 people showed up for #MattGaetz\xe2\x80\x99s big reelection campaign kick off event\n\nHe d\xe2\x80\xa6 https://t.co/Hi1Iy36bOt',,,,
2022-04-11 18:53:11+00:00,b'#NewHampshire #GOP candidate #KarenTesterman says incumbent Gov #ChrisSununu \xe2\x80\x9cputs the \xe2\x80\x98R\xe2\x80\x99 in \xe2\x80\x98Rino.\xe2\x80\x99\xe2\x80\x99\xe2\x80\x9d\xe2\x80\xa6 https://t.co/Jaa7LI1aXH',,,,
2022-04-11 18:52:22+00:00,"b'@KuckelmanAshley #GA #GOP voters are supporting Herschel Walker, a man who believes participating in a debate is mo\xe2\x80\xa6 https://t.co/IVeSDwvarV'",,,,
2022-04-11 18:51:58+00:00,b'\xf0\x9f\xa7\xb5 why #gop runs unopposed #rural vs #urban https://t.co/C8ouniOnqU',,,,
2022-04-11 18:51:34+00:00,"b""Racist, xenophobe, liar, and confident that his audience will gobble it all up. Yes, that's the modern #GOP. https://t.co/PkWD1EF1HS""",Dallas,Dallas County,Texas,United States
2022-04-11 18:49:11+00:00,b'#Ohio #GOP Senate Candidate #MikeGibbons: \xe2\x80\x98Middle Class Not Really Paying ... Fair Share\xe2\x80\x98 in Taxes\xe2\x80\xa6 https://t.co/4HiJn9o4UA',,,,
2022-04-11 18:48:52+00:00,b'@realTuckFrumper And this is what the #GOP @HawleyMO IS ALL ABOUT RACISM\xe2\x80\xbc\xef\xb8\x8f We must vote THEM ALL OUT 2022 https://t.co/l6Ui3CQBpS',,,,
2022-04-11 18:48:03+00:00,b'#Washington Gets  Sniffles...at Least Some Did. https://t.co/ES8eDZEQ0V #msnbc #foxnews #nytimes #cnn #wsj #cnbc\xe2\x80\xa6 https://t.co/K4VvsuZKT7',,,,
2022-04-11 18:48:00+00:00,b'Bird Flu Pandemic Update https://t.co/jjgyELoO5R\n\n#food #BirdFlu #avianflu #health #homesteading #farming #ccot\xe2\x80\xa6 https://t.co/MnSYylvOpL',,,,
2022-04-11 18:47:15+00:00,b'@GOPLeader @SteveScalise @RepMcCaul @HouseForeignGOP @RepMikeTurner @RepFrenchHill @KenCalvert @RepFischbach\xe2\x80\xa6 https://t.co/1pngU2wCkc',,,,
2022-04-11 18:46:56+00:00,"b""@EnglishTeach07 It's always about the cruelty with the #GOP #GQP""",,,,
