Time,Text,City,County,State
2022-04-09 05:48:50+00:00,b'\xf0\x9f\x92\x95Gotta love #ThatWomanFromMichigan I stand with Gretchen #Michigan #GOTMFV2022 https://t.co/u6WCiTvxik',,,
2022-04-09 05:46:47+00:00,b'RT @gritngrind82: I will be announcing my commitment at 6 PM EST tomorrow!\n#illini #kentucky #michigan',Fulton,,Illinois
2022-04-09 05:45:01+00:00,"b'#Ventura #Colorado #Michigan, Enjoy exclusive Amazon Originals as well as popular movies and TV shows. Watch anytim\xe2\x80\xa6 https://t.co/Kz4FPYxxQd'",,,
2022-04-09 05:29:26+00:00,b'Boiling sap #maple #syrup #boiling #sap #Michigan #homemade #benzie #woodfire #river https://t.co/GzVzgBsFsD',,,Michigan
2022-04-09 05:26:26+00:00,b'RT @MichiganClock: Ohio State has not beaten Michigan in football for 860 days.  #GoBlue #Michigan #BeatOhio',,,
2022-04-09 05:25:48+00:00,"b'RT @AdrblyFerocious: Jury acquits two men in Michigan governor kidnapping case, deadlocks on charge for two others.\n\n#Michigan\n#WTP_Of_TGCA\xe2\x80\xa6'",,,
2022-04-09 05:23:34+00:00,b'Well said.\n#Michigan #WhitmerTrial #terrorism #Kidnapping https://t.co/yIJ5rNmuBi',,,
2022-04-09 05:21:46+00:00,b'RT @GOPSparty: George Soros is funding the Secretary of State Project to elect radical progressives as #SoS. Benson received at least $3k!\xe2\x80\xa6',,,Texas
2022-04-09 05:17:29+00:00,"b'Once again, my home state of #Michigan embarrasses itself on a national stage. the lack of accountability sets a da\xe2\x80\xa6 https://t.co/a5JCIOUub5'",,,
2022-04-09 05:15:03+00:00,"b""RT @ProjectAxis1: I'm $26 from $300. Is anyone up for getting me past the post?\n#indiecomics #comics #comicbooks #cyberpunk #anime #michiga\xe2\x80\xa6""",,,
2022-04-09 05:12:45+00:00,b'RT @TheWolverineOn3: Five 2024 recruits #Michigan should consider offering from Texas \xf0\x9f\xa4\xa0\xe3\x80\xbd\xef\xb8\x8f\n\nWho would you like to see leave the \xe2\x80\x9cLone Star S\xe2\x80\xa6',,,
2022-04-09 05:10:44+00:00,"b'RT @MissingKids: #MISSING!\nPatrionna was last seen on January 20, 2022. She may still be in the local area of Flint, #Michigan.\nhttps://t.c\xe2\x80\xa6'",,,Washington
2022-04-09 05:06:14+00:00,b'@Junaid_Mattu What worth for educating from #Michigan',,,
2022-04-09 04:49:30+00:00,b'Stay iced out on the field \xf0\x9f\xa5\xb6\xf0\x9f\x8f\x88.              #football #sports #training #footballplayer #athletestraining #nfldraft\xe2\x80\xa6 https://t.co/kKE2KFccC7',Las Vegas,,
2022-04-09 04:40:37+00:00,"b'@Local4News No respect for women in #Michigan. Seems to be the norm to stalk, threaten and assault women with no ac\xe2\x80\xa6 https://t.co/mSX1JpW8hl'",,,
2022-04-09 04:29:22+00:00,"b'RT @TheMikeIsmail: If you\xe2\x80\x99ve paid any attention to the entrapment schemes of Muslim men in the US by the FBI, this verdict shouldn\xe2\x80\x99t shock\xe2\x80\xa6'",Virginia Beach,,Virginia
2022-04-09 04:25:32+00:00,"b'RT @mtarm: BREAKING on #Whitmer kidnap plot trial ///\n\nGRAND RAPIDS, Mich. (AP) _ 2 men #acquitted of conspiracy in foiled plot to kidnap #\xe2\x80\xa6'",,,
2022-04-09 04:20:36+00:00,"b""RT @ProjectAxis1: I'm $26 from $300. Is anyone up for getting me past the post?\n#indiecomics #comics #comicbooks #cyberpunk #anime #michiga\xe2\x80\xa6""",,,
2022-04-09 04:20:17+00:00,b'RT @ProjectAxis1: We are now over a 1/4th of the way to the funding goal. YOU GUYS ARE AWESOME!!! \n#comicsgate #comics #cyberpunk #michigan\xe2\x80\xa6',,,
2022-04-09 04:20:11+00:00,b'RT @TremendousUM: #Michigan Recruiting Insider is live with post-Spring Game thoughts and in-depth discussion on the recruitment of five-st\xe2\x80\xa6',Farrell,,Pennsylvania
2022-04-09 04:09:00+00:00,b'Best Cannabinoids Potency Testing Solutions Manufacturer - North America!\nCommercial Cannabis Awards 2020!\n#Germany\xe2\x80\xa6 https://t.co/cOBwqWyM16',,,
2022-04-09 04:04:03+00:00,"b'RT @PhotographyET: ""Riding Into the Light"", #railroad art by ET Photography\n\nI captured this image in #Michigan.  \n\nhttps://t.co/Zsa46S1KyU\xe2\x80\xa6'",,,
2022-04-09 04:02:59+00:00,b'RT @BetterYouHomeH1: We represent ourselves through a BETTER YOU!\xf0\x9f\x92\x99\n#betteryouhomehealth #homehealth #physicaltherapy #occupationaltherapy #\xe2\x80\xa6',,,
2022-04-09 04:01:30+00:00,"b'RT @mtarm: BREAKING on #Whitmer kidnap plot trial ///\n\nGRAND RAPIDS, Mich. (AP) _ 2 men #acquitted of conspiracy in foiled plot to kidnap #\xe2\x80\xa6'",,,Illinois
2022-04-09 04:01:07+00:00,"b'RT @mtarm: BREAKING on #Whitmer kidnap plot trial ///\n\nGRAND RAPIDS, Mich. (AP) _ 2 men #acquitted of conspiracy in foiled plot to kidnap #\xe2\x80\xa6'",Pensacola,,Florida
2022-04-09 03:59:20+00:00,b'RT @gritngrind82: I will be announcing my commitment at 6 PM EST tomorrow!\n#illini #kentucky #michigan',,,
2022-04-09 03:57:52+00:00,b'Two Men Acquitted of Plotting to #Kidnap Gov. #Gretchen Whitmer of #Michigan - Apr 8 @ 11:55 PM ET https://t.co/xP9DNy3vun',,,
2022-04-09 03:55:13+00:00,b'RT @MichiganClock: Ohio State has not beaten Michigan in football for 860 days.  #GoBlue #Michigan #BeatOhio',,,
2022-04-09 03:53:19+00:00,b'@RollingStone Why not report how this was a trumped up story just like the Smollet case?  Forget her husband broke\xe2\x80\xa6 https://t.co/kdnU5AvvFw',Henderson,,Nevada
